"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP","AVG. DIFF ","% OVER "
"143",7,"De'Zhaun Stribling",SF,"WR57","8","4 out of 5","4 out of 5","2 out of 5 stars","-31","-","-"
"144",7,"Hunter Henry",NE,"TE17","11","2 out of 5","4 out of 5","4 out of 5 stars","+10","+0.5","43% (7/16)"
"145",7,"Zach Charbonnet",SEA,"RB49","11","3 out of 5","4 out of 5","4 out of 5 stars","-3","+1.9","60% (9/15)"
"146",7,"Dylan Sampson",CLE,"RB50","11","4 out of 5","2 out of 5","3 out of 5 stars","+57","+0.5","42% (6/14)"
"147",7,"C.J. Stroud",HOU,"QB23","8","3 out of 5","4 out of 5","4 out of 5 stars","+17","-0.9","38% (5/13)"
"148",7,"Chig Okonkwo",WAS,"TE18","7","4 out of 5","4 out of 5","1 out of 5 stars","+19","+0.2","50% (8/16)"
"149",7,"Dalton Schultz",HOU,"TE19","8","4 out of 5","2 out of 5","4 out of 5 stars","+35","+0.9","56% (9/16)"
"150",7,"Isiah Pacheco",DET,"RB51","6","3 out of 5","4 out of 5","5 out of 5 stars","+3","-1.9","30% (4/13)"
"151",7,"MarShawn Lloyd",GB,"RB52","11","4 out of 5","4 out of 5","4 out of 5 stars","-5","-","-"
"152",7,"Alvin Kamara",NO,"RB53","8","3 out of 5","4 out of 5","3 out of 5 stars","-1","-4.1","18% (2/11)"
"153",7,"Adonai Mitchell",NYJ,"WR58","13","4 out of 5","4 out of 5","4 out of 5 stars","+83","0.0","28% (4/14)"
"154",7,"Cam Ward",TEN,"QB24","9","4 out of 5","4 out of 5","3 out of 5 stars","+21","-0.6","50% (8/16)"
"155",7,"Tyrone Tracy Jr.",NYG,"RB54","8","2 out of 5","5 out of 5","4 out of 5 stars","-3","-0.5","35% (5/14)"
"156",7,"Brenton Strange",JAC,"TE20","7","4 out of 5","3 out of 5","3 out of 5 stars","+5","+0.2","54% (6/11)"
"157",7,"Daniel Jones",IND,"QB25","13","4 out of 5","4 out of 5","4 out of 5 stars","+17","-","-"
"158",7,"Denzel Boston",CLE,"WR59","11","4 out of 5","4 out of 5","3 out of 5 stars","+13","-","-"
"159",7,"Tre Tucker",LV,"WR60","13","4 out of 5","2 out of 5","2 out of 5 stars","+52","+0.2","37% (6/16)"
"160",7,"Brian Robinson Jr.",ATL,"RB55","11","2 out of 5","4 out of 5","2 out of 5 stars","-16","-0.6","25% (4/16)"
"161",7,"Braelon Allen",NYJ,"RB56","13","2 out of 5","4 out of 5","3 out of 5 stars","+47","-1.2","50% (2/4)"
"162",7,"Jerry Jeudy",CLE,"WR61","11","1 out of 5","4 out of 5","3 out of 5 stars","+61","-2.2","18% (3/16)"
"163",7,"Jalen McMillan",TB,"WR62","10","4 out of 5","4 out of 5","4 out of 5 stars","+22","+5.0","100% (3/3)"
"164",7,"Jauan Jennings",MIN,"WR63","6","2 out of 5","4 out of 5","5 out of 5 stars","+12","+1.0","50% (7/14)"
"165",7,"Tre' Harris",LAC,"WR64","7","4 out of 5","2 out of 5","2 out of 5 stars","+62","-0.4","37% (6/16)"
"166",7,"Mike Washington Jr.",LV,"RB57","13","4 out of 5","4 out of 5","2 out of 5 stars","-38","-","-"
"167",7,"Dontayvion Wicks",PHI,"WR65","10","4 out of 5","4 out of 5","4 out of 5 stars","+51","-0.5","35% (5/14)"
"168",7,"Ray Davis",BUF,"RB58","7","4 out of 5","4 out of 5","2 out of 5 stars","+57","-0.3","31% (5/16)"
"169",7,"Kayshon Boutte",HOU,"WR66","8","3 out of 5","4 out of 5","3 out of 5 stars","+35","+0.8","46% (6/13)"
"170",7,"Terrance Ferguson",LAR,"TE21","11","4 out of 5","4 out of 5","4 out of 5 stars","+11","+1.4","42% (6/14)"
"171",8,"AJ Barner",SEA,"TE22","11","4 out of 5","2 out of 5","3 out of 5 stars","+16","+1.7","50% (8/16)"
"172",8,"Bryce Young",CAR,"QB26","5","2 out of 5","4 out of 5","2 out of 5 stars","0","-0.4","40% (6/15)"
"173",8,"Ryan Flournoy",DAL,"WR67","14","4 out of 5","3 out of 5","2 out of 5 stars","+88","+3.2","66% (8/12)"
"174",8,"Pat Bryant",DEN,"WR68","10","3 out of 5","4 out of 5","2 out of 5 stars","+65","+0.3","35% (5/14)"
"175",8,"Omar Cooper Jr.",NYJ,"WR69","13","4 out of 5","4 out of 5","4 out of 5 stars","+49","-","-"
"176",8,"Emmett Johnson",KC,"RB59","5","4 out of 5","4 out of 5","3 out of 5 stars","+2","-","-"
"177",8,"T.J. Hockenson",MIN,"TE23","6","3 out of 5","4 out of 5","4 out of 5 stars","-7","-1.1","40% (6/15)"
"178",8,"Malik Washington",MIA,"WR70","6","3 out of 5","4 out of 5","3 out of 5 stars","+37","-1.1","31% (5/16)"
"179",8,"Jalen Nailor",LV,"WR71","13","-","-","2 out of 5 stars","-14","-0.2","31% (5/16)"
"180",8,"Calvin Ridley",TEN,"WR72","9","2 out of 5","4 out of 5","3 out of 5 stars","+48","-","-"
"181",8,"Keenan Allen",IND,"WR73","13","3 out of 5","3 out of 5","4 out of 5 stars","-24","-1.4","25% (4/16)"
"182",8,"Oronde Gadsden II",LAC,"TE24","7","3 out of 5","4 out of 5","4 out of 5 stars","-9","+0.8","42% (6/14)"
"183",8,"Kimani Vidal",LAC,"RB60","7","1 out of 5","4 out of 5","3 out of 5 stars","+64","+0.4","45% (5/11)"
"184",8,"Jacoby Brissett",ARI,"QB27","14","2 out of 5","5 out of 5","2 out of 5 stars","+51","+2.5","60% (9/15)"
"185",8,"Kenyon Sadiq",NYJ,"TE25","13","4 out of 5","4 out of 5","4 out of 5 stars","-6","-","-"
"186",8,"Houston Texans",HOU,"DST1","8","-","-","2 out of 5 stars","-72","+2.2","62% (10/16)"
"187",8,"Denver Broncos",DEN,"DST2","10","-","-","4 out of 5 stars","-64","0.0","56% (9/16)"
"188",8,"Gunnar Helm",TEN,"TE26","9","3 out of 5","4 out of 5","3 out of 5 stars","+65","+0.6","50% (8/16)"
