RK,PLAYER,POS,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
54,TreVeyon Henderson   NE,RB,17,5.1,4.0,4.7,10.6,2.7,3.6,0.5,5.5,8.7,27.0,27.3,8.1,8.6,BYE,28.1,1.2,8.2,17.3,10.1,171.2
55,Cameron Dicker   LAC,K,17,9.0,8.0,12.0,5.0,6.0,17.0,7.0,15.0,11.0,14.0,8.0,BYE,9.0,20.0,12.0,10.0,4.0,3.0,10.0,170.0
56,Chris Olave   NO,WR,16,5.4,5.4,5.7,7.0,5.9,9.8,21.8,6.0,5.7,16.4,BYE,7.0,10.7,3.0,14.5,26.8,17.9,,10.6,169.0
57,Houston Texans   HOU,DST,17,6.0,7.0,5.0,14.0,11.0,BYE,18.0,5.0,8.0,14.0,9.0,15.0,2.0,12.0,7.0,11.0,8.0,12.0,9.6,164.0
57,Cam Little   JAC,K,17,15.0,10.0,5.0,9.0,9.0,0.0,1.0,BYE,15.0,13.0,5.0,13.0,6.0,11.0,12.0,11.0,14.0,15.0,9.6,164.0
57,Tyler Shough   NO,QB,11,,,0.0,,,,,5.3,10.2,19.0,BYE,8.9,18.4,22.3,18.1,17.1,21.9,22.8,14.9,164.0
60,Davante Adams   LAR,WR,14,5.1,16.6,11.6,11.6,8.8,3.9,21.5,BYE,18.0,13.7,6.1,18.2,17.8,2.9,7.1,,,,11.6,162.9
61,Zach Charbonnet   SEA,RB,16,10.7,1.0,,10.4,10.8,3.7,17.5,BYE,4.6,14.3,4.7,9.5,11.2,6.6,3.1,13.4,24.2,15.7,10.1,161.4
62,Kenneth Walker III   SEA,RB,17,2.4,17.8,17.0,11.0,8.6,3.7,6.6,BYE,6.1,7.0,17.1,10.1,7.4,2.8,1.9,22.4,5.7,13.3,9.5,160.9
63,RJ Harvey   DEN,RB,17,6.9,2.4,1.6,15.8,3.0,2.5,6.2,23.1,11.6,1.8,5.0,BYE,18.2,16.0,10.5,18.1,13.6,3.3,9.4,159.6
64,Will Reichard   MIN,K,17,9.0,8.0,14.0,8.0,3.0,BYE,18.0,6.0,11.0,9.0,5.0,10.0,0.0,8.0,12.0,11.0,16.0,11.0,9.4,159.0
65,Zay Flowers   BAL,WR,17,21.1,7.9,1.3,7.4,7.2,2.6,BYE,7.1,6.4,8.1,8.3,6.9,-1.4,12.6,12.8,14.2,9.0,25.8,9.3,157.3
66,Joe Flacco   CIN,QB,13,14.2,9.8,4.7,3.3,,18.8,26.0,24.3,32.7,BYE,10.9,10.6,,,,0.2,1.2,0.2,12.1,156.7
67,Chase McLaughlin   TB,K,17,6.0,2.0,21.0,16.0,12.0,7.0,5.0,17.0,BYE,5.0,8.0,1.0,10.0,9.0,11.0,10.0,5.0,11.0,9.2,156.0
68,Nico Collins   HOU,WR,15,2.5,11.2,14.4,7.9,12.0,BYE,2.7,,7.5,15.6,15.2,5.5,16.5,12.1,20.5,5.9,5.7,,10.3,155.2
69,Jameson Williams   DET,WR,17,2.6,16.8,4.3,3.7,1.0,12.6,0.0,BYE,12.6,17.9,15.7,0.0,19.9,10.3,19.4,7.0,3.7,7.4,9.1,154.9
70,Tony Pollard   TEN,RB,17,6.9,9.2,11.9,7.6,11.8,4.7,6.1,5.3,6.8,BYE,2.6,4.1,4.3,28.1,17.2,10.2,9.5,6.5,9.0,152.8
71,Tee Higgins   CIN,WR,15,3.3,11.6,1.5,3.2,8.2,6.2,15.6,10.4,26.1,BYE,12.3,3.1,,21.2,,11.3,5.9,12.7,10.2,152.6
72,Jake Bates   DET,K,17,7.0,10.0,9.0,13.0,5.0,5.0,8.0,BYE,7.0,13.0,5.0,12.0,6.0,16.0,11.0,6.0,5.0,14.0,8.9,152.0
73,Chris Boswell   PIT,K,17,14.0,12.0,3.0,6.0,BYE,15.0,8.0,20.0,10.0,6.0,10.0,4.0,1.0,9.0,4.0,11.0,8.0,10.0,8.9,151.0
74,Harrison Butker   KC,K,17,11.0,7.0,13.0,13.0,4.0,6.0,7.0,4.0,8.0,BYE,7.0,16.0,4.0,4.0,8.0,12.0,10.0,15.0,8.8,149.0
74,Andy Borregales   NE,K,17,8.0,9.0,2.0,6.0,13.0,5.0,7.0,13.0,6.0,4.0,10.0,18.0,15.0,BYE,7.0,10.0,6.0,10.0,8.8,149.0
76,Kenny Gainwell   PIT,RB,17,2.3,3.6,8.6,25.4,BYE,3.6,1.5,1.5,3.4,0.4,22.5,12.2,4.5,10.2,12.6,18.8,3.8,13.4,8.7,148.3
77,Rhamondre Stevenson   NE,RB,14,2.7,16.2,1.6,4.1,12.7,1.8,14.8,4.9,,,,1.0,8.0,BYE,7.7,15.8,22.2,33.3,10.5,146.8
78,Courtland Sutton   DEN,WR,17,12.1,0.6,17.8,14.1,9.9,1.7,10.7,6.7,9.0,2.4,5.9,BYE,12.2,6.2,17.3,14.6,4.0,0.5,8.6,145.7
